date,open,high,close,low,volume,amount
2004-01-02,996.9960000000001,1021.568,1011.347,993.8919999999999,8064653,5742758967
2004-01-05,1008.279,1060.8980000000001,1060.8010000000002,1008.279,1446818000,10706463941
2004-01-06,1059.141,1086.694,1075.656,1059.095,1699133400,12416997345
2004-01-07,1075.562,1095.8410000000001,1086.303,1070.98,1372941900,10352534788
2004-01-08,1087.68,1108.2910000000002,1102.662,1082.509,1078042700,8188926758
2004-01-09,1105.77,1115.461,1081.785,1079.072,1346744200,10548445392
2004-01-12,1081.807,1117.505,1116.799,1079.7730000000001,1023394300,8376568721
2004-01-13,1120.149,1123.656,1102.3410000000001,1089.633,983718900,7989281144
2004-01-14,1101.445,1101.6660000000002,1079.72,1076.869,712049900,5343577668
2004-01-15,1078.5330000000001,1088.67,1073.9769999999999,1070.7269999999999,617920700,4755875010
2004-01-16,1076.636,1087.817,1083.652,1067.847,717416700,5520318130
2004-01-29,1086.657,1101.027,1100.604,1084.455,579123000,4529581998
2004-01-30,1102.17,1103.6989999999998,1067.553,1066.445,776111800,5943973870
2004-02-02,1107.49,1116.3139999999999,1091.729,1069.9669999999999,1543292200,11668205473
2004-02-03,1091.865,1103.244,1102.954,1084.391,841110700,6827915398
2004-02-04,1104.74,1130.139,1128.443,1104.74,1053499000,8915089429
2004-02-05,1135.616,1136.423,1127.897,1118.1680000000001,977431400,8521830200
2004-02-06,1125.488,1139.088,1122.0839999999998,1108.9089999999999,1114033700,9086959709
2004-02-09,1122.285,1134.91,1134.611,1122.275,859830500,7038850173
2004-02-10,1137.7169999999999,1141.994,1120.961,1116.9289999999999,866278000,7084279413
2004-02-11,1121.807,1123.769,1110.0610000000001,1100.237,924632000,7161101296
2004-02-12,1110.835,1122.482,1094.112,1092.2930000000001,958159700,7735862225
2004-02-13,1094.002,1105.819,1096.362,1088.859,690482100,5758474874
2004-02-16,1098.858,1124.355,1123.748,1098.858,762341000,6197794454
2004-02-17,1127.098,1132.714,1123.618,1121.277,881589700,7856931164
2004-02-18,1123.701,1136.532,1129.275,1119.628,809371100,7208809235
2004-02-19,1130.396,1138.0819999999999,1122.38,1119.6689999999999,713080500,6217181258
2004-02-20,1122.93,1125.372,1124.661,1112.944,598875900,5258601253
2004-02-23,1126.231,1129.52,1093.137,1092.014,880250900,7258275895
2004-02-24,1090.25,1095.937,1093.1019999999999,1072.329,844938200,6881090367
2004-02-25,1094.431,1104.349,1070.362,1067.127,806405500,6373129920
2004-02-26,1068.125,1080.232,1079.897,1061.197,810089000,6041586122
2004-02-27,1081.715,1090.892,1088.725,1079.934,729306900,5654382402
2004-03-01,1089.653,1095.233,1094.242,1076.076,644171500,5297533595
2004-03-02,1096.105,1099.714,1093.391,1086.724,557731800,4608231808
2004-03-03,1093.358,1093.742,1072.639,1067.944,521481900,4177177058
2004-03-04,1070.9,1079.269,1078.348,1061.888,481043300,3854363357
2004-03-05,1080.338,1083.14,1071.5810000000001,1070.302,336502700,2754915383
2004-03-08,1070.114,1075.748,1057.1019999999999,1056.0439999999999,459984900,3706593742
2004-03-09,1057.358,1075.22,1061.1589999999999,1056.883,691802100,4876685815
2004-03-10,1062.976,1091.346,1091.097,1062.976,611397300,4768362429
2004-03-11,1092.741,1102.221,1095.5639999999999,1086.547,576179100,4817175725
2004-03-12,1096.348,1102.126,1099.0810000000001,1088.441,523609700,4158684024
2004-03-15,1100.404,1134.2830000000001,1131.675,1100.149,1025206900,8500648458
2004-03-16,1136.2730000000001,1139.486,1135.5710000000001,1127.851,732935900,6223977129
2004-03-17,1136.453,1139.276,1135.167,1124.6,548980200,4842844317
2004-03-18,1134.9260000000002,1141.809,1111.849,1110.318,686980500,5785905281
2004-03-19,1110.442,1130.264,1129.775,1107.103,588599400,4782877132
2004-03-22,1130.868,1141.812,1134.787,1126.193,509368600,4319534599
2004-03-23,1133.993,1134.126,1121.3319999999999,1115.67,558753500,4644463952
2004-03-24,1120.2060000000001,1125.06,1115.512,1109.3339999999998,480013900,4213864128
2004-03-25,1114.748,1126.187,1115.239,1108.1789999999999,460921600,3777134579
2004-03-26,1115.493,1118.724,1112.782,1105.5539999999999,539454700,4629500173
2004-03-29,1112.276,1115.0539999999999,1101.6589999999999,1100.428,533627000,4156404720
2004-03-30,1100.799,1106.01,1101.271,1093.119,415867700,3465947282
2004-03-31,1102.286,1113.737,1108.54,1097.868,424786000,3468943518
2004-04-01,1109.72,1124.254,1123.435,1108.914,468270700,3975839852
2004-04-02,1125.361,1133.437,1127.805,1122.642,578895400,4954578188
2004-04-05,1128.506,1129.815,1118.2730000000001,1112.2910000000002,625974900,5142214408
2004-04-06,1117.886,1124.017,1123.856,1106.6,554598000,4525595373
